subject,roi,brain_metric,comparator,level,split_mode,n_repeats,n_splits,n_stimuli,n_voxels,rdm_cv,degenerate_rdm,r_hh,r_sb,r_sb_lo,r_sb_hi,ceiling_one_sided
01,LOC,correlation,l1_r0,L1,all,12,462,100,2700,0.16388557556752478,False,0.9873799073643864,0.993649884157101,0.9919112585271816,0.9951394488034889,0.99681988551448
01,LOC,correlation,pearson,L2,all,12,462,100,2700,0.16388557556752478,False,0.28216581919022227,0.4401393563407107,0.29207145554735897,0.5704526509979629,0.6634299935492144
01,LOC,correlation,spearman,L3,all,12,462,100,2700,0.16388557556752478,False,0.24869161423648312,0.39832351142767386,0.25229821020028453,0.5310142142563034,0.6311287597849379
01,LOC,correlation,kendall,L3,all,12,462,100,2700,0.16388557556752478,False,0.16797717442916654,0.2876377691392183,0.17691503011012735,0.39614281339811447,0.5363187197359591
01,LOC,correlation,l1_r0,L1,contiguous,12,1,100,2700,0.16388557556752478,False,0.9860068684569951,0.992954137387311,,,0.9964708412127828
01,LOC,correlation,pearson,L2,contiguous,12,1,100,2700,0.16388557556752478,False,0.2507730795341642,0.40098893018637993,,,0.6332368673619532
01,LOC,correlation,spearman,L3,contiguous,12,1,100,2700,0.16388557556752478,False,0.24504556520392615,0.39363308790034546,,,0.6274018551935796
01,LOC,correlation,kendall,L3,contiguous,12,1,100,2700,0.16388557556752478,False,0.16404995601600975,0.28186067989294006,,,0.530905528218477
01,LOC,correlation,l1_r0,L1,alternating,12,1,100,2700,0.16388557556752478,False,0.987927483030429,0.9939270838234162,,,0.9969589178212993
01,LOC,correlation,pearson,L2,alternating,12,1,100,2700,0.16388557556752478,False,0.29808194971725654,0.4592652255617354,,,0.6776910989246763
01,LOC,correlation,spearman,L3,alternating,12,1,100,2700,0.16388557556752478,False,0.251101564239087,0.4014087607536573,,,0.633568276315708
01,LOC,correlation,kendall,L3,alternating,12,1,100,2700,0.16388557556752478,False,0.17001022551234712,0.2906132302183935,,,0.5390855499996207
01,LOC,euclidean_centered,l1_r0,L1,all,12,462,100,2700,0.08757481508298583,False,0.9970959883963917,0.9985458828116018,0.9981874096453838,0.9988321550818919,0.9992726769063597
01,LOC,euclidean_centered,pearson,L2,all,12,462,100,2700,0.08757481508298583,False,0.3337925436627248,0.5005164337567787,0.38727051881967856,0.5898663172322597,0.7074718607526229
01,LOC,euclidean_centered,spearman,L3,all,12,462,100,2700,0.08757481508298583,False,0.29793832710376483,0.459094736448053,0.3572561406153343,0.538322328681323,0.6775653005047211
