subject,roi,n_voxels,voxel_nc_testset_mean,voxel_nc_singletrial_mean,voxel_splithalf_corrected_mean
01,LOC,2700,18.729523766394074,2.3708122462395553,0.1688765299229941
01,FFA,553,12.773659117649187,1.4952863268057865,0.09858240901663652
01,PPA,809,10.699607874990111,1.1762008885749073,0.07961624236630901
01,Early_VC,2585,22.76863309624221,3.673202495425598,0.20552958497989557
02,LOC,1175,20.619827541787235,2.7294398550612766,0.18927065076527658
02,FFA,400,19.425736297215,2.47138962854525,0.180830892364
02,PPA,1196,9.365517844335285,1.0215686310267558,0.05557479312303345
02,Early_VC,2922,23.834422853496918,3.9328814449719367,0.22324980004456435
03,LOC,423,13.464482291591018,1.5754670502931443,0.1086532601962175
03,FFA,247,8.225644905708501,0.8619749902995951,0.04116596839611336
03,PPA,633,10.366508334565559,1.1076455163265402,0.07709356526657504
03,Early_VC,2162,15.748096716965449,1.8963424519790841,0.13700892182183164
