roi,brain_metric,model_rdm,level,comparator,n_stimuli,n_cells,nili_upper,nili_lower,nili_upper_ci_lo,nili_upper_ci_hi,nili_lower_ci_lo,nili_lower_ci_hi,nili_crossed,n_subjects,bootstrap,n_boot,boot_seed,l1_cv_model,subject,row_type,score_obs,score_per_subject,perm_p,perm_z,n_perm,perm_seed,nili_upper_subject,nili_lower_subject,l1_baseline,l1_cv_brain,achievement_nili_lower,achievement_nili_upper,degenerate
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.6215286405986206,F1+F2+F3,group_mean,0.832482320548919,0.832220;0.829365;0.835862,1.0,-5.1225869677818086,10000,3589424845165706227,,,0.8374631550978231,,-0.0337885074708401,-0.0319655101745942,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.6215286405986206,sub-01,subject,0.8322195968225828,,0.9999000099990001,-4.496704789849928,10000,3589424845165706228,0.9937837237440482,0.9859954396678099,0.8381397295790025,0.1638855755675248,-0.0403456019640256,-0.03815933570906489,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.6215286405986206,sub-02,subject,0.8293650879119243,,0.9971002899710029,-2.9058070978053805,10000,3589424845165706229,0.9915646607547265,0.9810331383566003,0.8339246173557449,0.19304229597369058,-0.03020543519500164,-0.02861194308626872,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.6215286405986206,sub-03,subject,0.8358622769122499,,0.9993000699930007,-3.818677793488726,10000,3589424845165706230,0.9944981482745172,0.9875971612331519,0.8403251183587217,0.1467120805157802,-0.03087400548413892,-0.02917708714373069,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,F1+F2+F3,group_mean,-0.05802860201678223,-0.069659;-0.045843;-0.058584,1.0,-5.184105420251761,10000,3589424845165706227,,,,,-0.16187185500368192,-0.08012858824442419,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,sub-01,subject,-0.0696588877296488,,0.9999000099990001,-4.496704789849494,10000,3589424845165706228,0.7400056061839155,0.3839990610796454,,,-0.19431475138812468,-0.09618822681337988,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,sub-02,subject,-0.0458427165076007,,0.9971002899710029,-2.9058070978054724,10000,3589424845165706229,0.6866333690730244,0.29727279570613435,,,-0.1278791027456967,-0.06330175167723427,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,sub-03,subject,-0.05858420181309719,,0.9993000699930007,-3.8186777934873186,10000,3589424845165706230,0.7459414965132034,0.394182588623442,,,-0.16342171087722443,-0.08089578624265845,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,F1+F2+F3,group_mean,-0.05865503456021224,-0.072449;-0.051216;-0.052299,0.9993000699930007,-3.3071145454237048,10000,3589424845165706227,,,,,-0.16817116808335647,-0.08185025227447162,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-01,subject,-0.07244922786583252,,0.9972002799720028,-3.0143157332007,10000,3589424845165706228,0.7293212272668476,0.3648790693766147,,,-0.2077208097870436,-0.10109937914743962,False
